SurveyID,SiteCode,SiteLat,SiteLong,latlon,Region,Reef,MPA zone,Pre or post bleach,Depth,Visibility,bleaching.anomaly,total.storms,mean.storm.interval,mean_turbidity,post2006SSTanomaly,post2010SSTanomaly,SST(mean),DA (turbidity),nitrate,chlomean,Corallivore,Browsing herbivore,Scraping herbivore,Excavator,Algal farmer,Benthic invertivore,Higher carnivore,Planktivore,Cleaner,Omnivore,Urchins (less Echninostrephus),Turf algae,calcified algae,foliose algae,Tabular Coral,branching coral,Massive coral,other live hard coral,soft corals,Exploit20,ExploitTot
4000707,QLD30,-17.2294,146.09131,-17146,Cairns POM,#N/A,RZ,Pre,6,(blank),,2,4.333333333,4.075060769,0.443406329,0.285176434,26.697,0.094,0.66,0.453,333.5464899,95.31037358,,,94.29712511,3985.387487,1977.58651,41652.96359,101.242103,61511.65412,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.571510418,2.771506422
4000708,QLD30,-17.2294,146.09131,-17146,Cairns POM,#N/A,RZ,Pre,7,(blank),,2,4.333333333,4.075060769,0.443406329,0.285176434,26.697,0.094,0.66,0.453,127.998406,,,,124.5297613,3228.864337,4376.806378,28207.53999,101.242103,45061.07295,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.746242502,5.246232512
4000711,QLD31,-17.22682,146.09528,-17146,Cairns POM,#N/A,RZ,Pre,3.5,(blank),,2,4.333333333,4.137596175,0.443406329,0.285176434,26.697,0.094,0.66,0.453,1191.700917,,536.6132802,,1535.320352,6575.315483,407.3819138,1417.456227,363.3081044,2411.028063,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.407381914,0.407381914
4000712,QLD31,-17.22682,146.09528,-17146,Cairns POM,#N/A,RZ,Pre,4,(blank),,2,4.333333333,4.137596175,0.443406329,0.285176434,26.697,0.094,0.66,0.453,1208.224551,343.2335583,,,538.8813686,1604.524275,703.2837942,3543.494772,166.7586034,2231.093217,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.703283794,0.703283794
4000713,QLD32,-17.21662,146.08918,-17146,Cairns POM,#N/A,RZ,Pre,4.5,(blank),,2,4.333333333,4.110894222,0.443406329,0.285176434,26.697,0.094,0.66,0.453,913.4819672,720.2943615,,,297.752918,8749.889127,764.2570282,3911.200779,64.30608483,1196.335119,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.477332166,1.669809832
4000714,QLD32,-17.21662,146.08918,-17146,Cairns POM,#N/A,RZ,Pre,5.2,(blank),,2,4.333333333,4.110894222,0.443406329,0.285176434,26.697,0.094,0.66,0.453,994.4330481,105.3495472,1855.823277,,186.7151434,6168.603095,1298.207866,562.3953313,35.72560268,2461.185205,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.776297612,1.776297612
4000709,QLD33,-17.20315,146.07662,-17146,Cairns POM,#N/A,SZ,Pre,3.5,(blank),,2,4.333333333,4.004510954,0.443406329,0.285176434,26.708,0.158,0.654,0.984,1454.676626,5761.838248,7033.479765,431.8424085,292.729915,3481.236563,1020.621931,1013.826872,146.7258905,2567.719166,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.51603976,1.51603976
4000710,QLD33,-17.20315,146.07662,-17146,Cairns POM,#N/A,SZ,Pre,4,(blank),,2,4.333333333,4.004510954,0.443406329,0.285176434,26.708,0.158,0.654,0.984,963.8060637,4414.436072,3140.42584,,6.873532127,1840.479238,1019.36782,2288.081871,97.95255341,2267.580842,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.928760606,1.01936782
912347442,QLD120,-17.16368,146.01283,-17146,Cairns POM,High Is,RZ,during,2,10,,4,2.833333333,3.54842203,0.443406329,0.285176434,26.708,0.158,0.654,0.984,1114.600116,13387.08125,7863.851342,1.055882814,1122.595515,7619.983395,121.2111735,22092.46817,40.14719494,8839.354788,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.26463997,0.385851144
912347471,QLD120,-17.16368,146.01283,-17146,Cairns POM,High Is,RZ,during,4,10,,4,2.833333333,3.54842203,0.443406329,0.285176434,26.708,0.158,0.654,0.984,1033.760048,18.71766689,639.9171154,265.0081806,1666.602792,5526.276572,489.3440111,2071.904807,54.3010056,2495.478594,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.919753144,0.920247257
912347441,QLD119,-17.16215,146.00698,-17146,Cairns POM,High Is,RZ,during,2,8,,4,2.833333333,3.443082257,0.443406329,0.285176434,26.708,0.158,0.654,0.984,569.8892796,4678.811051,537.0343171,,822.2483893,2885.303733,4120.320755,87401.59965,104.7625087,19902.79436,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.728694743,4.120320755
912347470,QLD119,-17.16215,146.00698,-17146,Cairns POM,High Is,RZ,during,5,8,,4,2.833333333,3.443082257,0.443406329,0.285176434,26.708,0.158,0.654,0.984,723.2279794,,1061.172105,,30.4438671,2558.304235,8620.4393,12130.78875,119.5382745,1124.440849,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,7.537187428,8.620890747
912347440,QLD118,-17.16005,146.00575,-17146,Cairns POM,High Is,RZ,during,2,8,,4,2.833333333,3.474110218,0.443406329,0.285176434,26.708,0.158,0.654,0.984,369.9831603,3232.379202,6077.247159,839.3491028,1855.419797,19136.34174,75367.99625,141560.2964,120.5244189,35701.92567,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,69.71553166,78.69450534
912347469,QLD118,-17.16005,146.00575,-17146,Cairns POM,High Is,RZ,during,8,8,,4,2.833333333,3.474110218,0.443406329,0.285176434,26.708,0.158,0.654,0.984,559.7005505,,2264.850704,620.1439292,11.40118503,3437.786644,10711.60709,13505.85056,29.51166622,369.7820752,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,10.96866575,11.3422812
912347443,QLD121,-17.15843,146.01482,-17146,Cairns POM,High Is,RZ,during,2,8,,4,2.833333333,3.597115049,0.443406329,0.285176434,26.708,0.158,0.654,0.984,987.0746256,2966.801489,27.89055931,3.695589849,1521.698135,4666.616369,144.2955321,15669.86672,120.4508584,4123.031644,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.292543831,1.436839363
912347472,QLD121,-17.15843,146.01482,-17146,Cairns POM,High Is,RZ,during,5,8,,4,2.833333333,3.597115049,0.443406329,0.285176434,26.708,0.158,0.654,0.984,442.6095879,431.3477948,1.025035205,,1293.968681,1419.476892,665.819225,3006.32695,32.11172508,2135.055064,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.09296555,1.096722471
912345465,GBR35,-16.9921,145.99963,-17146,Cairns POM,#N/A,,Pre,2,6,,7,1.444444444,4.100176643,0.443406329,0.285176434,26.679,0.111,0.661,0.604,1543.595995,2259.77299,12981.0152,431.8424085,430.3207656,5421.489432,1304.689612,11420.35942,4.060890709,1420.993003,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.975307862,1.975307862
912345466,GBR35,-16.9921,145.99963,-17146,Cairns POM,#N/A,,Pre,5,6,,7,1.444444444,4.100176643,0.443406329,0.285176434,26.679,0.111,0.661,0.604,191.984478,2119.258425,658.748515,,73.05475639,6245.872843,950.2638943,829.1315932,15.72852163,1509.802815,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2.073216596,2.175087051
912345463,GBR33,-16.93323,145.98456,-17146,Cairns POM,#N/A,RZ,Pre,2,8,,6,1.75,3.962071985,0.443406329,0.285176434,26.679,0.111,0.661,0.604,601.6644817,6799.341953,2397.427989,2178.201976,2144.568398,3829.003612,,2032.594143,222.8576886,3784.43387,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.26463997,0.26463997
